============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
  230. N17FS                 1m 8s   (2 sessions)
  231. N8314W                1m 6s   (3 sessions)
  232. N372CZ                1m 6s   (3 sessions)
  233. N1553X                1m 6s   (4 sessions)
  234. N8269B                1m 5s   (1 sessions)
  235. N909DB                1m 4s   (2 sessions)
  236. N50LF                 1m 4s   (3 sessions)
  237. EJA503                1m 3s   (2 sessions)
  238. N8094T                1m 3s   (1 sessions)
  239. N7973M                1m 3s   (2 sessions)
  240. PRE26                 1m 3s   (2 sessions)
  241. N677P                 1m 3s   (3 sessions)
  242. N960MP                1m 3s   (2 sessions)
  243. N808W                 1m 3s   (2 sessions)
  244. CXK126                1m 2s   (2 sessions)
  245. N427BB                1m 1s   (2 sessions)
  246. N446DW                1m 1s   (2 sessions)
  247. N720JH                1m 0s   (2 sessions)
  248. N736SY                1m 0s   (1 sessions)
  249. N418DR                1m 0s   (2 sessions)
  250. EJA626                  59s   (2 sessions)
  251. N9226D                  59s   (1 sessions)
  252. N173SK                  59s   (1 sessions)
  253. CAP596                  59s   (4 sessions)
  254. JRE827                  58s   (2 sessions)
  255. N657C                   58s   (1 sessions)
  256. N260TT                  58s   (4 sessions)
  257. N2315C                  58s   (2 sessions)
  258. N4729C                  58s   (2 sessions)
  259. TWY750                  57s   (2 sessions)
  260. N9152Q                  57s   (2 sessions)
  261. N64PW                   57s   (1 sessions)
  262. N860JB                  57s   (3 sessions)
  263. N1MN                    57s   (6 sessions)
  264. N761BB                  57s   (6 sessions)
  265. CXK623                  56s   (2 sessions)
  266. PRE68                   56s   (2 sessions)
  267. N831TT                  56s   (2 sessions)
  268. N165AR                  55s   (3 sessions)
  269. N728DJ                  55s   (2 sessions)
  270. N1075E                  55s   (2 sessions)
  271. N267AM                  54s   (2 sessions)
  272. N226ML                  54s   (2 sessions)
  273. N165MW                  54s   (2 sessions)
  274. N510BE                  54s   (3 sessions)
  275. N395FG                  53s   (2 sessions)
  276. N855CP                  53s   (3 sessions)
  277. N79347                  53s   (2 sessions)
  278. EJA423                  52s   (2 sessions)
  279. N93JN                   52s   (2 sessions)
  280. N2WM                    52s   (3 sessions)
  281. N708JP                  52s   (1 sessions)
  282. N736TT                  52s   (2 sessions)
  283. N22WB                   52s   (2 sessions)
  284. N92RV                   52s   (2 sessions)
  285. N70LX                   52s   (2 sessions)
  286. EVANS17                 51s   (1 sessions)
  287. N420FJ                  51s   (1 sessions)
  288. N2643V                  51s   (1 sessions)
  289. N657KT                  50s   (2 sessions)
  290. N34982                  50s   (1 sessions)
  291. N896JH                  50s   (2 sessions)
  292. EJA838                  50s   (2 sessions)
  293. N623BG                  49s   (2 sessions)
  294. N1803W                  49s   (3 sessions)
  295. N96665                  49s   (1 sessions)
  296. N414TW                  48s   (3 sessions)
  297. PIKES42                 48s   (1 sessions)
  298. N2940T                  48s   (1 sessions)
  299. N482CG                  48s   (1 sessions)
  300. N37JL                   47s   (2 sessions)
  301. JSX8103                 46s   (2 sessions)
  302. N626UT                  46s   (1 sessions)
  303. N254E                   46s   (1 sessions)
  304. N6744W                  45s   (2 sessions)
  305. CNS3311                 45s   (1 sessions)
  306. N7895L                  44s   (2 sessions)
  307. N2896G                  44s   (2 sessions)
  308. N156ME                  44s   (2 sessions)
  309. N707PD                  43s   (1 sessions)
  310. EJA606                  43s   (1 sessions)
  311. N668W                   43s   (2 sessions)
  312. N11636                  43s   (2 sessions)
  313. N263RS                  42s   (1 sessions)
  314. N405PJ                  41s   (3 sessions)
  315. N970TX                  41s   (1 sessions)
  316. N8175N                  41s   (1 sessions)
  317. EJA665                  41s   (1 sessions)
  318. EJA572                  41s   (1 sessions)
  319. EJA459                  41s   (1 sessions)
  320. N1071Z                  40s   (1 sessions)
  321. LXJ605                  40s   (2 sessions)
  322. N422V                   40s   (1 sessions)
  323. N3216E                  40s   (1 sessions)
  324. CXK188                  40s   (3 sessions)
  325. N350ZF                  40s   (1 sessions)
  326. N5327J                  40s   (2 sessions)
  327. EJA817                  39s   (1 sessions)
  328. EJA922                  39s   (1 sessions)
  329. N194AK                  39s   (3 sessions)
